,title,artist,weather,img_src,song_url
105,Never Less Than Yesterday,Nancy Wilson,¸¼À½,https://cdnimg.melon.co.kr/cm/album/images/041/62/578/4162578_500.jpg/melon/resize/120/quality/80/optimize,https://www.melon.com/song/detail.htm?songId=21622805
106,A Sorte Do Amor (The Luck Of Love),Eliane Elias,¸¼À½,https://cdnimg.melon.co.kr/cm/album/images/023/12/496/2312496_500.jpg/melon/resize/120/quality/80/optimize,https://www.melon.com/song/detail.htm?songId=5652637
107,Samba With Some Barbecue,Paul Desmond,¸¼À½,https://cdnimg.melon.co.kr/cm/album/images/003/26/907/326907_500.jpg/melon/resize/120/quality/80/optimize,https://www.melon.com/song/detail.htm?songId=1419417
108,Makin' Whoopee!,"Ella Fitzgerald, London Symphony Orchestra",¸¼À½,https://cdnimg.melon.co.kr/cm/album/images/100/97/371/10097371_500.jpg/melon/resize/120/quality/80/optimize,https://www.melon.com/song/detail.htm?songId=30657493
109,Ontem A Noite,The Jazz Crusaders,¸¼À½,https://cdnimg.melon.co.kr/cm/album/images/001/43/270/143270_500.jpg/melon/resize/120/quality/80/optimize,https://www.melon.com/song/detail.htm?songId=5042367
110,Besame Mucho,Ron Carter,¸¼À½,https://cdnimg.melon.co.kr/cm/album/images/003/14/986/314986_500.jpg/melon/resize/120/quality/80/optimize,https://www.melon.com/song/detail.htm?songId=1123264
111,Home,Michel Petrucciani,¸¼À½,https://cdnimg.melon.co.kr/cm/album/images/001/43/227/143227_500.jpg/melon/resize/120/quality/80/optimize,https://www.melon.com/song/detail.htm?songId=5041910
112,After All,"Al Jarreau, Metropole Orchestra, Vince Mendoza",¸¼À½,https://cdnimg.melon.co.kr/cm/album/images/021/34/060/2134060_500.jpg/melon/resize/120/quality/80/optimize,https://www.melon.com/song/detail.htm?songId=3842672
113,Heart Of Glass,The Puppini Sisters,¸¼À½,https://cdnimg.melon.co.kr/cm/album/images/007/70/551/770551_500.jpg/melon/resize/120/quality/80/optimize,https://www.melon.com/song/detail.htm?songId=2542959
114,Easy Does It,The Oscar Peterson Trio,¸¼À½,https://cdnimg.melon.co.kr/cm/album/images/003/81/918/381918_500.jpg/melon/resize/120/quality/80/optimize,https://www.melon.com/song/detail.htm?songId=1874142
115,Quiet Nights (Corcovado),Blossom Dearie,¸¼À½,https://cdnimg.melon.co.kr/cm/album/images/000/45/623/45623_500.jpg/melon/resize/120/quality/80/optimize,https://www.melon.com/song/detail.htm?songId=646803
116,How Insensitive,Peggy Lee,¸¼À½,https://cdnimg.melon.co.kr/cm/album/images/003/14/665/314665_500.jpg/melon/resize/120/quality/80/optimize,https://www.melon.com/song/detail.htm?songId=1119431
117,Dindi,Joe Pass,¸¼À½,https://cdnimg.melon.co.kr/cm/album/images/043/35/872/4335872_500.jpg/melon/resize/120/quality/80/optimize,https://www.melon.com/song/detail.htm?songId=23198539
118,When In Rome,Sarah McKenzie,¸¼À½,https://cdnimg.melon.co.kr/cm/album/images/100/26/194/10026194_500.jpg/melon/resize/120/quality/80/optimize,https://www.melon.com/song/detail.htm?songId=30201980
